Stage	Valuation	Pref C Return	Pref B Return	Pref A Return	Founder Return	Return Matches Valuation	
1	    60000000	30000000	    6000000		    4000000	        20000000		TRUE	
2	    25000000	18500000	    2800000		    1366666.667	    2333333.333	    TRUE	
3	    35000000	23625000	    3825000		    1800000		    5750000		    TRUE	
4	    45000000	29333333.33 	4200000		    1911111.111	    9555555.556	    TRUE	
5	    40000000	26400000	    4200000		    1800000		    7600000		    TRUE	
	    50000000	30000000	    4200000		    2633333.333	    13166666.67	    FALSE	 Off by a tiny decimal: ca E-8
	    70000000	35000000	    7000000		    4666666.667	    23333333.33	    TRUE	
6	    39000000	25800000	    4200000		    1800000		    7200000		    TRUE	
	    44000000	28777777.78	    4200000		    1837037.037	    9185185.185	    FALSE	 Off by a tiny decimal: ca E-8
	    47000000	30000000	    4200000		    2133333.333	    10666666.67	    FALSE	 Off by a tiny decimal: ca E-8
